"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","explanation","dv_selection_rec"
"0AXMLnGNLqsd",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,"24","2: female","No errors.","I chose the left one because of its position. It was different from the first one shown.","Ysym"
"9hyrAJHcg7ji",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"66","2: female",NA,"looked at the size of the first object and surmised the second would be different but this may be an optical illusion.","not-Ysym"
"b6F8j51oncJf",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"42","1: male",NA,"The object on the left was the exact same size as the original object. Whilst the object on the right had the same shape it was much bigger so I assumed this was the object emitting the different alpha rays","not-Ysym"
"DuUcQFATgm4q",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"35","2: female",NA,"I was basing it mainly on the relative sizes of the object, but I was surprised by how quickly I forgot the size of the first one. I tried to choose the one which was not the same size as the original","not-Ysym"
"dY6PJ8BaOm6C",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"46","2: female",NA,"due to size and previous photo taken","not-Ysym"
"GbbOvodUex5W",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"61","2: female",NA,"The right object is larger than the left.","not-Ysym"
"InNaeQLN7yHj",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"19","2: female",NA,"chose due to the different size","not-Ysym"
"lleMqPp8VxCe",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"23","1: male",NA,"It is bigger therefore more intensity","not-Ysym"
"LzN5YB8lctZV",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"38","2: female",NA,"I would assume that the larger object was emitting a different amount than the smaller object which appeared similar to the object on the first screen.","not-Ysym"
"MKvAuxWXPqeB",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"32","1: male",NA,"It's larger and therefore capable of holding more energy","not-Ysym"
"PH7TwtX0XBxp",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"24","2: female",NA,"I made that choice because I assumed that the object I was presented with initially emitted the same level of alpha. And only the new object introduced emitted a different intensity of alpha ray.","not-Ysym"
"VRXG6qaifoJB",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"25","2: female",NA,"The first one was emitting different rays to the second one","not-Ysym"
"wzHM1XrLKXbu",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"64","2: female",NA,"The one on the left was same size as the first picture so as the other one was bigger I assumed it would emit more","not-Ysym"
"Za4BZQ9MvPIV",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"24","2: female","not at all","since the other object is larger than the other it could be emitting more radiation.","not-Ysym"
"Znnj3vew9pvQ",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,"25","1: male","None","It is bigger than the other object, thus its intensity will be different.","not-Ysym"
"7ebMhzrq1z7V",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"46","1: male","None.","I choose the one on the far right cause it has a different shape as the first one.","not-Ysym"
"BRu57E1zTQQG",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,"32","2: female",NA,"My choice was based on the shape of the object.","Ysym"
"d6LdpoAFxcw6",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"34","2: female",NA,"I chose that because it was different to the image","not-Ysym"
"FBHEMANpUg21",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,"47","2: female","no issues","I figured the one on the left is emitting different rays as it is facing the opposite direction in respect to the original image","Ysym"
"HON3WeVOusPZ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"44","2: female",NA,"Based on appearance, the left object looked identical, so I assume it was the one emitting the identical radiation levels.","not-Ysym"
"IYD13Ba7PzVj",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"30","3: non-binary","none noticed","the object on the right seemed slightly different from the one in the previous picture","not-Ysym"
"kiKbUfjk3RWu",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,"43","2: female",NA,"I am not sure","None"
"Ko2H8c43tfom",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"21","1: male",NA,"I was depending on my guts","not-Ysym"
"Q6PIrU61uDSq",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"30","2: female","none","because it is different shape from the object shown ealier","not-Ysym"
"QQuqgwjO84n2",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"50","1: male",NA,"i would assume the initial reading was for the left hand object and that as the object on the right is the new one and is a slightly different shape that is is providing a different reading from the first un-similar object","not-Ysym"
"rbeS6he6Ualp",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"21","1: male",NA,"I think it was the right object because the shape was different.","not-Ysym"
"rU29DMbiIUZm",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"27","2: female","there were no errors.","this object looks completely different than the previous object in both shape and size and is therefore the obvious choice.","not-Ysym"
"sD2FAGb5kIFe",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,"41","1: male",NA,"I don't think there was enough information present to decide which was emitting more radiation.","None"
"UVuOZRFpcSTa",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,"26","2: female","none","The object on the left looks similar to that which was in the first image. I, therefore, assumed that the object on the right is emitting different alpha rays, because it looked different to the other two objects.","not-Ysym"
"X0iIfrjefKEk",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,"26","2: female",NA,"i thought the one on the left looked slightly different than the first object i was shown, and so it made sense that it would emit different kinds of rays.","Ysym"
"12UNSidbD04f",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"30","2: female",NA,"The object is placed in a different position than in the first object","not-Ysym"
"4sh7CT358R3Q",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,"45","2: female",NA,"Surely they're both emitting 'different' intensities from each other?","None"
"57OqChis6br6",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"30","2: female","N/A","It said the first one was emitting a degree and then the next one emitting even more, the logical assumption is that it's the one that was presented second to me is the one that is emitting more.","not-Ysym"
"FCtRuHceaMOQ",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"45","2: female",NA,"The first object was standing on its point.  The second set of objects had one standing on its point, so I would assume this was the same as the first one.","not-Ysym"
"GMF4sk3995VR",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"59","3: non-binary","Have you been watching 2001 recently?","In the second picture the right hand object presents differently to the left, which is the same as in the first picture.","not-Ysym"
"H1bM86yehSMs",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"35","1: male",NA,"In the second scene, I found it more plausible that the object with the different angle is the one that also emits different alpha rays.","not-Ysym"
"HazAkMlbuIF8",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"26","2: female",NA,"The text suggested that an object other than the one discovered first was emitting the different rays and judging from the first picture shown the one on the right is the newly discovered one","not-Ysym"
"hQOJAYjFeLBM",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"42","2: female","no errors.","I chose the right side object as I was upright in the beginning and now it's laying plat. That change in position would make it possibly change what it emits.","not-Ysym"
"jAMeP0muIcWb",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",2,"64","2: female","n/a","the object although identical in shape was in a different position (prone?) 'perhaps' allowing or subduing the density of the alpha rays","not-Ysym"
