"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","explanation","dv_selection_rec"
"2wLxD0NkUeD0",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,31,"1: male",NA,"The size of the object is bigger than the other two and therefore might have a larger radioactive nuclei than the other two","not-Ysym"
"6bILc4d2Av5X",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,56,"2: female","I did not notice any specifically","it makes to me that the larger of the two object is emitting a different amount than the (what appears to be ) smaller one . The item on the left appears to me to be of a similar size the object in the first scenario therefore would be emitting the same/similar amount","not-Ysym"
"HhVMspkRFqUE",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,29,"2: female",NA,"The left object was the same size as the first object whereas the right one was larger so stands to reason that it would be giving out more radiation as it was larger","not-Ysym"
"KjKz6GtNA5NA",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,59,"2: female","I didnt think the robot pictures were identical mirror images, also thought it strange that one had picked it up hanging off the pincer whilst the left robot had appeared to be holding it in pincers.","The right hand one looked to be bigger than the left which from memory seemed to be that size and in that position. So I thought the right was newer and therefore producing the different sound.","not-Ysym"
"LTYuCFXQmI7w",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,56,"2: female","Nothing wrong here.","Since it is larger than the original object, perhaps the intensity is increased, changing everything.
I am absolutely clueless, otherwise, as I have no scientific understanding of anything.
It's just blunt intuition.","not-Ysym"
"Nf1fnxkGQRwj",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,31,"1: male",NA,"The object looked bigger which suggested it was emitting a larger amount of rays. The fact the arms were the same size suggested it wasn't an issue in perspective and that the object on the right was larger","not-Ysym"
"P0vqCl8q6pBC",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,20,"1: male","everything went super fine :)","i'm not sure, i just feel like it's the right answer.","not-Ysym"
"TWfUenPouGvZ",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,36,"2: female","None","I based it off the size of the object compared to the illustration of the robot arm in the previous screen. It makes sense that similarly sized objects would emit the same level of Alpha radiation.","not-Ysym"
"Tp9azDtH8kgd",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,63,"2: female","none","Object on left found later than that on right.","not-Ysym"
"WPRrQqNhHMzI",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,39,"2: female","There was no error","They both look the same so it is a bit difficult to tell which one is real","None"
"cCeuRJRUNAP2",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,22,"1: male",NA,"I decided based on size as the left was more similar in size to the previous object","not-Ysym"
"g1IVmJe7SnYY",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,30,"1: male","None","Object on left was similar shape and size of the original unidentified object. The object ont he right was larger and would make sense to have a different output of alpha rays.","not-Ysym"
"jrsPOIkdxZ8Z",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,71,"2: female","no problems encountered, thank you.","I thought that the larger one, by nature of its size shown on the photograph, would be emitting the different intensity than the other one, which is smaller and looks the same as the first one that one robot arm picked up previously.","not-Ysym"
"q4SApk1qhL4Y",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,23,"1: male","N/A","The object on the left was initially picked up by the robot and we were told it emitted certain alpha rays. Then the other object picked up the larger object and we were told new rays were emitted. Based on what we were previously told, the first object can't be emitting the different rays unless the bigger object was able to influence the smaller one which I don't think is the case. Therefore the second object has to be the one emitting the different rays.","not-Ysym"
"xpFvQUWQ7ZHG",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,51,"2: female","no","The one on the left was being held in the same way as the first image, which makes me think that the right one is a different object","not-Ysym"
"9p1hYKaApTHY",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,33,"2: female","no errors","The object on the left looks identical to the object shown on the previous slide (so I assumed they were emitting the same radiation), hence the object on the right was picked.","not-Ysym"
"CsUPjFjND3de",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,25,"2: female","None","The left object looks identical to the object discovered the first time, and therefore should be emitting the same amount of radiation. The right object looks similar but with different angles, so I'm assuming the object is emitting different radiation","not-Ysym"
"DW0jTRtjR7n2",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,49,"2: female",NA,"Different shape triangle","not-Ysym"
"FUeDc0pHulNX",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,25,"2: female",NA,"The one object looked like it had been rotated or was different.","not-Ysym"
"FXpy9r61GHQE",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,41,"2: female",NA,"as the object was at a different angle to the previous one they found","not-Ysym"
"Gxbe9lapF4oJ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,39,"2: female",NA,"My instinct would suggest the new shaped piece would emit a different radiation level to the original same shaped piece.","not-Ysym"
"IZQl3PVZHBBG",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,23,"1: male","None
","The object on the left has the exact same shape as the initial object, so it's likely the one emitting the same intensity of alpha rays. The second object has a different shape than the other two, so it's likely emitting different levels of intensity.","not-Ysym"
"LWOM0S6KHfnJ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,25,"1: male",NA,NA,"not-Ysym"
"UTPXJtrgfD42",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,28,"1: male",NA,"The shape of the object is different facing the robot, depending where the sensors are it may omit the alpha rays in a different pattern to the original object","not-Ysym"
"WZjpwyb1M3sF",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,36,"1: male",NA,"Because is the same as the was illustration scientist equipment","Ysym"
"bUdTvI4DGLTM",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,30,"2: female",NA,"The object on the left looked the same as the first one so it makes more sense that the alpha rays were the same.","not-Ysym"
"if1d6Z12Dl1W",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,32,"1: male",NA,NA,"None"
